stage_id,task_id,launch_time,finish_time,duration_ms,executor_cpu_time_ms,jvm_gc_time_ms,deserialize_time_ms,serialize_time_ms,peak_memory_bytes,disk_spilled_bytes,memory_spilled_bytes
1007,2194,1788185214713,1788185214740,27,20.509497,0,0,0,0,0,0
1003,2190,1788185214487,1788185215367,880,834.932547,9,1,0,0,0,0
1009,2199,1788185215391,1788185215421,30,25.200658,0,2,0,34078688,0,0
1009,2200,1788185215391,1788185215433,42,36.86805,0,2,0,34078688,0,0
1009,2204,1788185215391,1788185215433,42,37.736199,0,2,0,34078688,0,0
1009,2201,1788185215391,1788185215433,42,37.831739,0,2,0,34078688,0,0
1009,2197,1788185215390,1788185215434,44,38.172837,0,2,0,34078688,0,0
1009,2196,1788185215390,1788185215434,44,38.438707,0,2,0,34078688,0,0
1009,2210,1788185215391,1788185215434,43,38.007307,0,2,0,34078688,0,0
1009,2205,1788185215391,1788185215434,43,38.453665,0,2,0,34078688,0,0
1009,2198,1788185215390,1788185215434,44,38.546858,0,2,0,34078688,0,0
1009,2208,1788185215391,1788185215434,43,38.620718,0,2,0,34078688,0,0
1009,2203,1788185215391,1788185215434,43,38.540669,0,2,0,34078688,0,0
1009,2209,1788185215391,1788185215435,44,37.901309,0,4,0,34078688,0,0
1009,2206,1788185215391,1788185215435,44,36.727578,0,6,0,34078688,0,0
1009,2207,1788185215391,1788185215436,45,38.022264,0,2,0,34078688,0,0
1009,2211,1788185215420,1788185215440,20,16.381306,0,2,0,34078688,0,0
1009,2202,1788185215391,1788185215445,54,30.118359,0,2,0,34078688,0,0
1009,2195,1788185215390,1788185215446,56,32.389543,0,2,0,34078688,0,0
1010,2213,1788185216857,1788185216922,65,57.937898,0,1,0,0,0,0
1010,2212,1788185216857,1788185217179,322,298.671574,0,1,0,0,0,0
1012,2214,1788185217188,1788185217190,2,0.466605,0,0,0,0,0,0
1014,2217,1788185218510,1788185218606,96,89.99289,0,0,0,0,0,0
1013,2215,1788185218507,1788185218876,369,348.868995,0,1,0,0,0,0
1014,2216,1788185218510,1788185218939,429,405.665834,0,0,0,0,0,0
1016,2218,1788185218949,1788185218956,7,5.685384,0,0,0,0,0,0
1018,2224,1788185218980,1788185219003,23,19.233645,0,1,0,3407872,0,0
1018,2225,1788185218980,1788185219008,28,23.766875,0,2,0,3407872,0,0
1018,2227,1788185218980,1788185219008,28,23.136765,0,1,0,3407872,0,0
1018,2228,1788185218980,1788185219009,29,23.608802,0,1,0,3407872,0,0
1018,2231,1788185218981,1788185219009,28,23.252612,0,2,0,3407872,0,0
1018,2229,1788185218980,1788185219009,29,23.373258,0,1,0,3407872,0,0
1018,2222,1788185218980,1788185219009,29,24.242249,0,1,0,3407872,0,0
1018,2220,1788185218980,1788185219010,30,24.772627,0,1,0,3407872,0,0
1018,2223,1788185218980,1788185219010,30,23.753803,0,1,0,3407872,0,0
1018,2232,1788185218981,1788185219010,29,23.477323,0,2,0,3407872,0,0
1018,2219,1788185218980,1788185219010,30,24.757556,0,1,0,3407872,0,0
1018,2221,1788185218980,1788185219010,30,25.093299,0,1,0,3407872,0,0
1018,2230,1788185218980,1788185219010,30,24.23961,0,1,0,3407872,0,0
1018,2226,1788185218980,1788185219010,30,23.813628,0,1,0,3407872,0,0
1021,2233,1788185219029,1788185219033,4,1.828661,0,1,0,8650736,0,0
1024,2234,1788185219038,1788185219044,6,2.87356,0,2,0,8650736,0,0
1028,2235,1788185219062,1788185219066,4,1.194911,0,1,0,8454128,0,0
1029,2236,1788185220347,1788185220400,53,37.315184,0,0,1,0,0,0
1030,2238,1788185220462,1788185220516,54,48.045921,0,1,0,18377216,0,0
1030,2237,1788185220462,1788185220736,274,250.391178,0,1,0,18377216,0,0
1032,2239,1788185220745,1788185220747,2,0.47968,0,0,0,0,0,0
1034,2241,1788185222052,1788185222112,60,41.697484,0,0,0,0,0,0
1036,2245,1788185222058,1788185222282,224,188.505511,27,1,0,0,0,0
1035,2243,1788185222055,1788185222407,352,315.788682,27,1,0,25165792,0,0
1033,2240,1788185222047,1788185222582,535,479.071951,27,1,0,0,0,0
1036,2244,1788185222058,1788185223056,998,918.312993,36,1,0,0,0,0
1035,2242,1788185222054,1788185223712,1658,1577.303436,36,1,0,159383376,0,0
1040,2255,1788185223754,1788185223974,220,180.515091,10,3,0,43732832,0,0
1040,2250,1788185223754,1788185224260,506,450.001694,17,3,0,123490032,0,0
1040,2253,1788185223754,1788185224261,507,437.052137,17,3,0,123490032,0,0
1040,2261,1788185223755,1788185224266,511,456.185794,17,3,0,123490032,0,0
1040,2256,1788185223754,1788185224267,513,469.70211,17,3,0,123490032,0,0
1040,2251,1788185223754,1788185224268,514,466.395699,17,3,0,123490032,0,0
1040,2248,1788185223754,1788185224268,514,449.788681,17,3,0,123490032,0,0
1040,2262,1788185223972,1788185224271,299,259.388245,7,3,0,100421376,0,0
1040,2254,1788185223754,1788185224272,518,461.501418,17,3,0,123490032,0,0
1040,2249,1788185223754,1788185224272,518,460.994627,17,3,0,123490032,0,0
1040,2252,1788185223754,1788185224275,521,466.724031,17,3,0,123490032,0,0
1040,2258,1788185223754,1788185224279,525,470.896213,17,5,0,123490032,0,0
1040,2257,1788185223754,1788185224282,528,466.806983,17,4,0,123490032,0,0
1040,2259,1788185223755,1788185224283,528,476.209011,17,4,0,123490032,0,0
1040,2260,1788185223755,1788185224283,528,464.529678,17,5,0,123490032,0,0
1040,2246,1788185223754,1788185224288,534,480.916041,17,3,0,123490032,0,0
1040,2247,1788185223754,1788185224288,534,464.992089,17,4,0,123490032,0,0
1041,2264,1788185230600,1788185231440,840,795.140131,7,1,0,0,0,0
1041,2263,1788185230599,1788185236190,5591,5484.271415,17,1,0,0,0,0
1043,2278,1788185236198,1788185238224,2026,905.522704,89,0,0,0,0,0
1043,2266,1788185236198,1788185238236,2038,905.471222,89,1,0,0,0,0
1043,2270,1788185236198,1788185238283,2085,899.241507,89,0,0,0,0,0
1043,2268,1788185236198,1788185238439,2241,981.434789,89,0,0,0,0,0
1043,2276,1788185236198,1788185238457,2259,982.067814,89,0,0,0,0,0
1043,2272,1788185236198,1788185238501,2303,986.94808,89,0,0,0,0,0
1043,2265,1788185236198,1788185238501,2303,984.601284,89,0,0,0,0,0
1043,2269,1788185236198,1788185238508,2310,967.506559,89,0,0,0,0,0
1043,2280,1788185236199,1788185238534,2335,1027.33198,89,0,0,0,0,0
1043,2271,1788185236198,1788185238535,2337,1055.583267,89,0,0,0,0,0
1043,2273,1788185236198,1788185238546,2348,1066.755305,89,0,0,0,0,0
1043,2274,1788185236198,1788185238548,2350,1059.802023,89,0,0,0,0,0
1043,2267,1788185236198,1788185238549,2351,1063.310592,89,0,0,0,0,0
1043,2275,1788185236198,1788185238550,2352,1042.917124,89,0,0,0,0,0
1043,2279,1788185236199,1788185238554,2355,1053.590149,89,0,0,0,0,0
1043,2277,1788185236198,1788185238554,2356,1038.338488,89,0,0,0,0,0
1043,2282,1788185238236,1788185238683,447,396.82344,0,0,0,0,0,0
1043,2281,1788185238223,1788185238806,583,518.102453,0,0,0,0,0,0
1044,2284,1788185240240,1788185241437,1197,1134.664038,32,1,0,8650736,0,0
1044,2283,1788185240240,1788185246225,5985,5853.402369,56,1,0,8650736,0,0
1046,2285,1788185246253,1788185246258,5,2.640663,0,1,0,8650736,0,0
1048,2286,1788185246262,1788185246267,5,2.923925,0,2,0,8650736,0,0
1051,2287,1788185246278,1788185246282,4,1.075618,0,1,0,8454128,0,0
1053,2290,1788185247607,1788185247631,24,15.489339,0,0,0,0,0,0
1052,2289,1788185247604,1788185247771,167,160.825967,0,0,0,0,0,0
1054,2291,1788185247649,1788185247831,182,160.445239,0,1,0,2097152,0,0
1056,2292,1788185247841,1788185247868,27,21.217286,0,0,0,0,0,0
1052,2288,1788185247603,1788185248464,861,807.664073,10,0,0,0,0,0
1058,2300,1788185248487,1788185248519,32,27.183866,0,3,0,34078688,0,0
1058,2294,1788185248486,1788185248519,33,24.833818,0,3,0,34078688,0,0
1058,2306,1788185248487,1788185248524,37,32.355517,0,3,0,34078688,0,0
1058,2299,1788185248487,1788185248525,38,33.491627,0,3,0,34078688,0,0
1058,2301,1788185248487,1788185248526,39,34.626387,0,3,0,34078688,0,0
1058,2302,1788185248487,1788185248527,40,35.563053,0,3,0,34078688,0,0
1058,2304,1788185248487,1788185248527,40,35.739984,0,3,0,34078688,0,0
