config_id,frag_files,workload_type,scheduler_mode,repetition,run_type,query,client_start_time,client_end_time,duration_ms
frag200_multi_stream_FIFO,200,multi_stream,FIFO,3,baseline,Q14,1788183508.019819,1788183509.8604963,1840.677261352539
frag200_multi_stream_FIFO,200,multi_stream,FIFO,3,baseline,Q18,1788183509.8612313,1788183513.6876948,3826.463460922241
frag200_multi_stream_FIFO,200,multi_stream,FIFO,4,baseline,Q1,1788183529.045416,1788183536.578064,7532.6478481292725
frag200_multi_stream_FIFO,200,multi_stream,FIFO,4,baseline,Q3,1788183536.584817,1788183538.978319,2393.5019969940186
frag200_multi_stream_FIFO,200,multi_stream,FIFO,4,baseline,Q6,1788183538.9790046,1788183540.9204385,1941.4339065551758
frag200_multi_stream_FIFO,200,multi_stream,FIFO,4,baseline,Q12,1788183540.9210153,1788183542.962248,2041.2328243255615
frag200_multi_stream_FIFO,200,multi_stream,FIFO,4,baseline,Q14,1788183542.9629655,1788183544.797843,1834.8774909973145
frag200_multi_stream_FIFO,200,multi_stream,FIFO,4,baseline,Q18,1788183544.7985282,1788183548.707986,3909.4579219818115
frag200_multi_stream_FIFO,200,multi_stream,FIFO,4,concurrent,Q1,1788183565.3630614,1788183573.3611486,7998.087167739868
frag200_multi_stream_FIFO,200,multi_stream,FIFO,4,concurrent,Q3,1788183573.3634183,1788183576.1278927,2764.474391937256
frag200_multi_stream_FIFO,200,multi_stream,FIFO,4,concurrent,Q6,1788183576.1288478,1788183578.1829762,2054.128408432007
frag200_multi_stream_FIFO,200,multi_stream,FIFO,4,concurrent,Q12,1788183578.1855605,1788183580.3702266,2184.666156768799
frag200_multi_stream_FIFO,200,multi_stream,FIFO,4,concurrent,Q14,1788183580.3724246,1788183582.1970434,1824.6188163757324
frag200_multi_stream_FIFO,200,multi_stream,FIFO,4,concurrent,Q18,1788183582.1978028,1788183586.097343,3899.5401859283447
frag500_single_stream_FIFO,500,single_stream,FIFO,0,baseline,Q14,1788183601.2375872,1788183603.264829,2027.2417068481445
frag500_single_stream_FIFO,500,single_stream,FIFO,0,concurrent,Q14,1788183619.671495,1788183621.6388135,1967.3185348510742
frag500_single_stream_FIFO,500,single_stream,FIFO,1,concurrent,Q14,1788183648.2708838,1788183650.5079489,2237.065076828003
frag500_single_stream_FIFO,500,single_stream,FIFO,1,baseline,Q14,1788183674.6859493,1788183676.6569614,1971.0121154785156
frag500_single_stream_FIFO,500,single_stream,FIFO,2,baseline,Q14,1788183691.2727475,1788183693.2721515,1999.403953552246
frag500_single_stream_FIFO,500,single_stream,FIFO,2,concurrent,Q14,1788183709.3811672,1788183711.6075118,2226.344585418701
frag500_single_stream_FIFO,500,single_stream,FIFO,3,concurrent,Q14,1788183737.3034096,1788183739.2454193,1942.009687423706
frag500_single_stream_FIFO,500,single_stream,FIFO,3,baseline,Q14,1788183763.918713,1788183765.7240736,1805.3605556488037
frag500_single_stream_FIFO,500,single_stream,FIFO,4,baseline,Q14,1788183779.930879,1788183781.9849236,2054.044485092163
frag500_single_stream_FIFO,500,single_stream,FIFO,4,concurrent,Q14,1788183797.7596798,1788183799.6987216,1939.0418529510498
frag500_multi_stream_FIFO,500,multi_stream,FIFO,0,baseline,Q1,1788183824.782585,1788183832.046301,7263.715982437134
frag500_multi_stream_FIFO,500,multi_stream,FIFO,0,baseline,Q3,1788183832.0482516,1788183834.3932536,2345.0019359588623
