chronological_index,repetition_cycle,repetition_type,phase_index,phase_position,state,query,statement_id,status,duration_seconds
280,15,MEASURED,46,1,compacted,Q14,query14_compacted.sql_0,SUCCESS,0.403477
281,15,MEASURED,46,1,compacted,Q18,query18_compacted.sql_0,SUCCESS,3.128092
282,15,MEASURED,47,2,control,Q1,query1_control.sql_0,SUCCESS,6.538552
283,15,MEASURED,47,2,control,Q3,query3_control.sql_0,SUCCESS,1.046227
284,15,MEASURED,47,2,control,Q6,query6_control.sql_0,SUCCESS,0.361127
285,15,MEASURED,47,2,control,Q12,query12_control.sql_0,SUCCESS,0.576079
286,15,MEASURED,47,2,control,Q14,query14_control.sql_0,SUCCESS,0.495195
287,15,MEASURED,47,2,control,Q18,query18_control.sql_0,SUCCESS,2.31314
288,16,MEASURED,48,0,compacted,Q1,query1_compacted.sql_0,SUCCESS,5.08964
289,16,MEASURED,48,0,compacted,Q3,query3_compacted.sql_0,SUCCESS,0.920984
290,16,MEASURED,48,0,compacted,Q6,query6_compacted.sql_0,SUCCESS,0.286752
291,16,MEASURED,48,0,compacted,Q12,query12_compacted.sql_0,SUCCESS,0.526254
292,16,MEASURED,48,0,compacted,Q14,query14_compacted.sql_0,SUCCESS,0.415925
293,16,MEASURED,48,0,compacted,Q18,query18_compacted.sql_0,SUCCESS,3.0739
294,16,MEASURED,49,1,control,Q1,query1_control.sql_0,SUCCESS,6.467747
295,16,MEASURED,49,1,control,Q3,query3_control.sql_0,SUCCESS,1.062111
296,16,MEASURED,49,1,control,Q6,query6_control.sql_0,SUCCESS,0.373767
297,16,MEASURED,49,1,control,Q12,query12_control.sql_0,SUCCESS,0.580875
298,16,MEASURED,49,1,control,Q14,query14_control.sql_0,SUCCESS,0.480177
299,16,MEASURED,49,1,control,Q18,query18_control.sql_0,SUCCESS,2.304369
300,16,MEASURED,50,2,fragmented,Q1,query1_fragmented.sql_0,SUCCESS,2.619162
301,16,MEASURED,50,2,fragmented,Q3,query3_fragmented.sql_0,SUCCESS,0.560325
302,16,MEASURED,50,2,fragmented,Q6,query6_fragmented.sql_0,SUCCESS,0.259535
